Station Code , Lat , Lon , Country , City
41112 , 1813N , 4239E , KINGDOM OF SAUDI ARABIA ,  ABHA
40420 , 2517N , 4929E , KINGDOM OF SAUDI ARABIA ,  AL-AHSA
41055 , 2017N , 4138E , KINGDOM OF SAUDI ARABIA ,  AL-BAHA
40361 , 2947N , 4005E , KINGDOM OF SAUDI ARABIA ,  AL-JOUF
40357 , 3054N , 4108E , KINGDOM OF SAUDI ARABIA ,  ARAR
41084 , 1959N , 4237E , KINGDOM OF SAUDI ARABIA ,  BISHA
40416 , 2616N , 5010E , SAUDI ARABIA ,  DHAHRAN 21
40416 , 2616N , 5010E , SAUDI ARABIA ,  DHAHRAN 17
40416 , 2616N , 5009E , SAUDI ARABIA ,  DHAHRAN 17
40416 , 2615N , 5009E , KINGDOM OF SAUDI ARABIA ,  DHAHRAN
40405 , 2618N , 4346E , KINGDOM OF SAUDI ARABIA ,  GASSIM
40572 , 1652N , 4235E , SAUDI ARABIA ,  GIZAN 3
41140 , 1653N , 4235E , KINGDOM OF SAUDI ARABIA ,  GIZAN
40360 , 3124N , 3716E , KINGDOM OF SAUDI ARABIA ,  GURIAT
40377 , 2754N , 4531E , KINGDOM OF SAUDI ARABIA ,  HAFR AL-BATIN
40394 , 2731N , 4144E , SAUDI ARABIA ,  HAIL 988
40394 , 2726N , 4141E , KINGDOM OF SAUDI ARABIA ,  HAIL
40477 , 2130N , 3912E , SAUDI ARABIA ,  JEDDAH 11
41026 , 2130N , 3912E , SAUDI ARABIA ,  JEDDAH 17
41024 , 2142N , 3911E , KINGDOM OF SAUDI ARABIA ,  JEDDAH KAIA
41114 , 1817N , 4248E , KINGDOM OF SAUDI ARABIA ,  KHAMIS MUSHAIT
40430 , 2432N , 3941E , KINGDOM OF SAUDI ARABIA ,  MADINAH
41030 , 2126N , 3946E , KINGDOM OF SAUDI ARABIA ,  MAKKAH
40430 , 2433N , 3943E , SAUDI ARABIA ,  MEDINA 632
40430 , 2433N , 3942E , SAUDI ARABIA ,  MEDINA 636
40430 , 2433N , 3942E , SAUDI ARABIA ,  MEDINA 636
41128 , 1736N , 4424E , KINGDOM OF SAUDI ARABIA ,  NAJRAN
40373 , 2819N , 4607E , KINGDOM OF SAUDI ARABIA ,  QAISUMAH
40362 , 2937N , 4329E , KINGDOM OF SAUDI ARABIA ,  RAFHA
40438 , 2442N , 4644E , SAUDI ARABIA ,  RIYADH 608
40438 , 2443N , 4643E , SAUDI ARABIA ,  RIYADH 612
40438 , 2443N , 4644E , SAUDI ARABIA ,  RIYADH 620
40437 , 2455N , 4643E , KINGDOM OF SAUDI ARABIA ,  RIYADH NEW
40438 , 2442N , 4644E , KINGDOM OF SAUDI ARABIA ,  RIYADH OLD
41136 , 1728N , 4706E , KINGDOM OF SAUDI ARABIA ,  SHARORAH
40375 , 2822N , 3635E , SAUDI ARABIA ,  TABOUK 769
40375 , 2822N , 3636E , KINGDOM OF SAUDI ARABIA ,  TABUK
40480 , 2129N , 4032E , SAUDI ARABIA ,  TAIF 1457
41036 , 2128N , 4032E , KINGDOM OF SAUDI ARABIA ,  TAIF
40356 , 3141N , 3844E , KINGDOM OF SAUDI ARABIA ,  TURAIF
41061 , 2030N , 4513E , KINGDOM OF SAUDI ARABIA ,  WADI AL-DAWASSER
40400 , 2612N , 3628E , KINGDOM OF SAUDI ARABIA ,  WAJH
40439 , 2408N , 3803E , KINGDOM OF SAUDI ARABIA ,  YANBO
40439 , 2407N , 3803E , SAUDI ARABIA ,  YENBO 6 
	  ,       ,       , 
